"","PTT.BK","KTC.BK","CPALL.BK","MINT.BK","SCB.BK","KBANK.BK","CPN.BK","AOT.BK"
"2007-02-15",21,2.6,2.975,9.75207,67.5,66.5,12.2,5.65
"2007-02-16",20.799999,2.6,2.95,9.66942,67.5,65.5,12.2,5.85
"2007-02-19",20.799999,2.625,2.925,9.42149,67.5,65,12.15,5.9
"2007-02-20",20.799999,25.75,2.975,9.50413,67.5,66,12.2,6.1
"2007-02-21",21.200001,2.6,2.925,9.2562,68.5,66,12,6.3
"2007-02-22",21.200001,2.6,2.925,9.50413,69,67,11.75,6.05
"2007-02-23",21.4,2.55,2.925,9.33884,67.5,66,12.25,5.95
"2007-02-26",21.200001,2.48,2.95,9.2562,66.5,65.5,12.25,6
"2007-02-27",21.200001,2.55,2.925,8.92562,66,64.5,12.1,6.15
"2007-02-28",20.799999,2.575,2.85,9.17355,66,64,12.875,6.05
"2007-03-01",21,2.525,2.825,9.09091,67,64.5,12.35,6.05
"2007-03-02",21,2.525,2.85,8.92562,67,64,12.2,5.9
"2007-03-06",20.6,2.48,2.875,8.84298,67.5,64,12.1,5.85
"2007-03-07",20.200001,2.525,2.85,8.76033,68.5,63.5,11.9,5.8
"2007-03-08",20.4,25.25,2.8,8.84298,68,63,11.6,6
"2007-03-09",20.4,2.55,2.8,8.76033,66.5,63,11.5,6
"2007-03-12",20.200001,2.49,2.825,8.76033,68.5,64,11.65,6.2
"2007-03-13",20.4,2.5,2.85,8.76033,68.5,64,11.95,6.2
"2007-03-14",20.200001,2.46,2.85,8.84298,69,63.5,11.95,6.05
"2007-03-15",20.200001,24.700001,2.9,8.92562,70,64.5,11.9,6.05
"2007-03-16",20.200001,2.45,2.85,8.92562,69,63.5,11.75,6
"2007-03-19",20.200001,2.4,2.85,8.92562,68.5,63.5,11.75,6
"2007-03-20",20.4,2.37,2.85,8.92562,68.5,64,12.05,6
